PropertyType,PropertyTypeId,PropertyPriceTypeId,Latitude,Longtitude,CityId,CountyId,DistrictId,NetArea,ExtraArea,BrutArea,RealtyPrice,Room,LivingRoom,Bahtroom,TotalRooms,FloorCount,FloorNumber,Age,Heating,BuildDate,FrontageNorth,FrontageSouth,FrontageEast,FrontageWest,AttributeMainRoad,AttributeWideRoad,AttributeEstateHousing,AttributeSportComplex,AttributePlayGround,AttributeElevator,AttributeGenerator,AttributeGateKeeper,AttributeSecurity,AttributeParkingAreaOutdoor,AttributeParkingAreaIndoor,AttributeSwimmingPoolOutdoor,AttributeSwimmingPoolIndoor,AttributeHeatIsolation,AttributeAirCondition,AttributeFirePlace,AttributeTerrace,AttributeMinibus,AttributeBusStop,ViewCity,ViewNature,ViewLake
0,2,1,39.9779879769764,32.7097105979919,6,1723,1875,119,0,136,115000,4,1,2,5,13,1,4,60,2016,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0
0,2,1,39.9771457906801,32.709002494812,6,1723,1875,119,0,136,115000,4,1,2,5,13,4,3,60,2017,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
0,2,1,39.9840980841047,32.6932842697143,6,1723,1875,119,0,136,115000,4,1,2,5,7,6,6,60,2014,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0,2,1,39.9773272393606,32.7176169757664,6,1723,1875,83,0,100,116000,3,1,1,4,5,4,17,50,2003,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,1,39.9784355287407,32.7043461799621,6,1723,1875,93,0,110,116000,3,1,1,4,7,1,27,50,1993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,2,1,39.9783466969615,32.7063731555759,6,1723,1875,93,0,110,116000,3,1,1,4,7,1,17,50,2003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,2,1,39.9801291079659,32.7099895477294,6,1723,1875,83,0,100,117000,3,1,1,4,5,4,22,50,1998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,2,1,39.9787577642722,32.709441602689,6,1723,1875,93,0,110,118000,3,1,1,4,4,3,12,50,2008,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,1,39.9791918896982,32.7094316482543,6,1723,1875,98,0,115,118000,3,1,1,4,6,0,22,50,1998,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,39.9784601928171,32.7087342739105,6,1723,1875,83,0,100,118000,3,1,1,4,7,1,20,50,2000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,2,1,39.9790685705481,32.7090561389923,6,1723,1875,93,0,110,118000,3,1,1,4,7,0,22,50,1998,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,39.9816648028923,32.7072987551218,6,1723,1875,119,0,136,118000,4,1,2,5,10,-1,3,70,2017,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,1,39.9771956953365,32.7104071979343,6,1723,1875,83,0,100,119000,3,1,1,4,4,4,19,50,2001,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,2,1,39.9860638351811,32.6943522056275,6,1723,1875,103,0,120,119000,3,1,1,4,7,1,22,50,1998,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,39.9787314970689,32.7094638347625,6,1723,1875,93,0,110,119000,3,1,1,4,5,0,22,50,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,2,1,39.9796193943621,32.7083587646484,6,1723,1875,93,0,110,119000,3,1,1,4,7,1,22,50,1998,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,39.9790603492635,32.7062129974365,6,1723,1875,119,0,136,119000,4,1,2,5,12,8,4,70,2016,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,1,39.9792247747673,32.706663608551,6,1723,1875,119,0,136,119000,4,1,2,5,13,5,4,70,2016,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,39.9763308281047,32.7050971984863,6,1723,1875,119,0,136,119000,4,1,2,5,13,6,4,70,2016,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,1,39.9795536245879,32.7068996429443,6,1723,1875,119,0,136,119000,4,1,2,5,13,12,4,70,2016,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,1,39.9797607581324,32.7000216846287,6,1723,1875,83,0,100,119000,3,1,1,4,5,1,24,50,1996,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,39.979463191045,32.7085626125335,6,1723,1875,83,0,100,119000,3,1,1,4,7,5,27,50,1993,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,39.9740835488045,32.7131295203071,6,1723,1875,93,0,110,119000,3,1,1,4,5,-1,27,60,1993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,39.9788728626763,32.7090339069187,6,1723,1875,83,0,100,119500,3,1,1,4,6,3,20,50,2000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,2,1,39.9782809259624,32.7164153461277,6,1723,1875,83,0,100,120000,3,1,1,4,5,5,19,50,2001,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,2,1,39.9704208562587,32.7063885250936,6,1723,1875,224,53,241,1200000,4,1,2,5,24,20,21,50,1999,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
0,2,1,39.9704208562587,32.7063885250936,6,1723,1875,224,53,241,1200000,4,1,2,5,24,20,21,50,1999,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
0,2,1,39.9698843238769,32.7130466333496,6,1723,1875,220,0,230,1200000,4,1,3,5,24,24,9,70,2011,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0
0,2,1,39.9698755238769,32.7130393333496,6,1723,1875,228,52,238,1200000,5,1,3,6,24,24,9,50,2011,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0
0,2,1,39.9699131238769,32.7131425333496,6,1723,1875,220,0,230,1200000,4,1,3,5,24,24,9,60,2011,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,39.9698429238769,32.7130065333496,6,1723,1875,230,0,240,1200000,5,1,3,6,24,24,5,70,2015,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0
0,2,1,39.9712990154352,32.7078008651733,6,1723,1875,103,0,120,121500,3,1,1,4,5,5,15,50,2005,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0,2,1,39.9730848169912,32.7066735629856,6,1723,1875,143,0,160,122000,4,2,1,6,3,0,21,50,1999,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,1,39.9812445453145,32.7149677276611,6,1723,1875,93,0,110,122000,3,1,1,4,5,4,22,50,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2,1,39.9753869393287,32.7066306476414,6,1723,1875,83,0,100,122000,3,1,1,4,5,1,17,50,2003,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,1,39.9762321686719,32.7053976058959,6,1723,1875,98,0,115,123000,3,1,1,4,5,1,20,50,2000,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,39.9799153575627,32.710268497467,6,1723,1875,83,0,100,123000,3,1,1,4,5,4,22,50,1998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,2,1,39.9758103569762,32.7055926327526,6,1723,1875,83,0,100,123000,3,1,1,4,5,1,22,50,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,39.9752882785332,32.7055577640354,6,1723,1875,93,0,110,124000,3,1,1,4,5,1,17,50,2003,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,1,39.9793069873708,32.7072429656982,6,1723,1875,93,0,110,124000,3,1,1,4,6,5,17,50,2003,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,2,1,39.9750771880524,32.7065620849609,6,1723,1875,93,0,110,125000,3,1,1,4,5,3,19,50,2001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,39.9804184510322,32.715213716489,6,1723,1875,83,0,100,125000,3,1,1,4,5,4,17,50,2003,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2,1,39.9791359440141,32.7174023990452,6,1723,1875,83,0,100,125000,3,1,1,4,5,4,19,50,2001,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,1,39.9847492417102,32.7001190185546,6,1723,1875,68,0,85,125000,2,1,1,3,5,4,23,60,1997,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,39.9794909858842,32.7010795034584,6,1723,1875,83,0,100,125000,3,1,1,4,7,5,21,50,1999,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,39.9792412172959,32.7096247673034,6,1723,1875,93,0,110,125000,3,1,1,4,5,4,20,50,2000,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,2,1,39.9789715182965,32.7063302402317,6,1723,1875,83,0,100,125000,3,1,1,4,8,2,20,50,2000,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,2,1,39.9791425620648,32.7093029022216,6,1723,1875,83,0,100,125000,3,1,1,4,5,4,22,50,1998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,1,39.9782480404392,32.7095918063938,6,1723,1875,101,0,118,125000,3,1,1,4,5,5,22,50,1998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,1,39.9870180898006,32.6930165290832,6,1723,1875,31,0,48,125000,1,1,1,2,9,1,5,60,2015,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,1,39.9869523271482,32.6931023597717,6,1723,1875,31,0,48,125000,1,1,1,2,9,1,5,60,2015,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,1,39.9869523271482,32.6932311058044,6,1723,1875,31,0,48,125000,1,1,1,2,9,1,4,60,2016,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,1,39.9869523271482,32.692973613739,6,1723,1875,31,0,48,125000,1,1,1,2,9,1,4,60,2016,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,1,39.9869523271482,32.6932311058044,6,1723,1875,31,0,48,125000,1,1,1,2,9,1,4,60,2016,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,1,39.9792576598206,32.7075862884521,6,1723,1875,93,0,110,125000,3,1,1,4,7,0,24,50,1996,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,2,1,39.9867279807977,32.6933264728722,6,1723,1875,31,0,48,125000,1,1,1,2,9,1,4,60,2016,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,1,39.9781658265615,32.7180568580448,6,1723,1875,93,0,110,125000,3,1,1,4,5,4,22,50,1998,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,1,39.9868208016535,32.6930165290832,6,1723,1875,31,0,48,125000,1,1,1,2,9,1,5,60,2015,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2,1,39.9869687678172,32.6929199695587,6,1723,1875,31,0,48,125000,1,1,1,2,9,1,5,60,2015,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,1,39.9870180898006,32.6932311058044,6,1723,1875,31,0,48,125000,1,1,1,2,9,1,4,60,2016,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,1,39.9796193943621,32.7086591720581,6,1723,1875,119,0,136,125000,4,1,2,5,13,13,3,60,2017,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
0,2,1,39.9786228213474,32.7106654644012,6,1723,1875,122,0,139,125000,4,1,2,5,13,4,5,60,2015,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0
0,2,1,39.9699006238769,32.7130633333496,6,1723,1875,177,43,194,1250000,6,1,3,7,24,24,6,50,2014,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0
